hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
청운효자동,11110515,11110,126.96990686761752,37.584418720515885,종로구
사직동,11110530,11110,126.9703752314623,37.57388621927961,종로구
삼청동,11110540,11110,126.98120495146988,37.58836740902573,종로구
부암동,11110550,11110,126.96354926751049,37.5969587400261,종로구
평창동,11110560,11110,126.96812734517589,37.61568263364914,종로구
무악동,11110570,11110,126.95858919704752,37.577108233656,종로구
교남동,11110580,11110,126.96411655616336,37.57106436845543,종로구
가회동,11110600,11110,126.98655013932952,37.582511684291084,종로구
종로1?2?3?4가동,11110615,11110,126.98985699099724,37.575186933038246,종로구
종로5?6가동,11110630,11110,127.00440346808996,37.572853710116696,종로구
이화동,11110640,11110,127.00302270933425,37.57971933130445,종로구
혜화동,11110650,11110,126.99742986464302,37.58746788473727,종로구
창신1동,11110670,11110,127.01379895274418,37.5723664484761,종로구
창신2동,11110680,11110,127.01018840445342,37.57602485406751,종로구
창신3동,11110690,11110,127.013222802622,37.5789527845504,종로구
숭인1동,11110700,11110,127.01689037280627,37.57718636818084,종로구
숭인2동,11110710,11110,127.02034243045809,37.57449185020222,종로구
소공동,11140520,11140,126.97437453532754,37.564255512847375,중구
회현동,11140540,11140,126.97710457297552,37.556939979505266,중구
명동,11140550,11140,126.98430107112212,37.56395091134355,중구
필동,11140570,11140,126.99377534693004,37.556869955485794,중구
장충동,11140580,11140,127.00216161451516,37.555563653364366,중구
광희동,11140590,11140,127.0037691620546,37.565159229901745,중구
을지로동,11140605,11140,126.99655901615029,37.566618853519614,중구
신당동,11140615,11140,127.0137071700536,37.56569008206271,중구
다산동,11140625,11140,127.00836345470714,37.55494168855172,중구
약수동,11140635,11140,127.0102867299519,37.55014822684117,중구
청구동,11140645,11140,127.01518815511604,37.556878152670386,중구
신당5동,11140650,11140,127.0218674854035,37.56363458123807,중구
동화동,11140665,11140,127.01865228045584,37.560706894007495,중구
황학동,11140670,11140,127.02085017986909,37.56853618353088,중구
중림동,11140680,11140,126.96603581524248,37.557342763110235,중구
동선동,11290575,11290,127.01851329837636,37.59364726779841,성북구
돈암1동,11290580,11290,127.02440331435469,37.599754918077274,성북구
돈암2동,11290590,11290,127.01159540593008,37.59708092788348,성북구
안암동,11290600,11290,127.02721861973257,37.58772606240176,성북구
보문동,11290610,11290,127.01913329976148,37.58282624761276,성북구
정릉1동,11290620,11290,127.01698686701162,37.60327909170645,성북구
정릉2동,11290630,11290,127.00850480334412,37.60367644346763,성북구
정릉3동,11290640,11290,126.9945862123328,37.61210087867798,성북구
정릉4동,11290650,11290,126.99490252916794,37.6239488858616,성북구
길음1동,11290660,11290,127.01974004643084,37.608225098062775,성북구
길음2동,11290685,11290,127.02715815844054,37.60828669338947,성북구
종암동,11290705,11290,127.03386916402484,37.59743703440874,성북구
월곡1동,11290715,11290,127.03654664097247,37.60783366466426,성북구
월곡2동,11290725,11290,127.0454002002377,37.60322653240499,성북구
장위1동,11290760,11290,127.0446598787933,37.61510185456549,성북구
장위2동,11290770,11290,127.05189551729268,37.612350879105215,성북구
장위3동,11290780,11290,127.05345140283232,37.618260668448144,성북구
석관동,11290810,11290,127.06136066360747,37.60827386641208,성북구
삼양동,11305534,11305,127.01492989664489,37.623803893509766,강북구
미아동,11305535,11305,127.02638390140945,37.62864018743246,강북구
송중동,11305545,11305,127.0329835271576,37.617673512388606,강북구
송천동,11305555,11305,127.02490771890918,37.61818905650258,강북구
삼각산동,11305575,11305,127.01652563113764,37.617163401594155,강북구
번1동,11305595,11305,127.03061306222838,37.63755892469418,강북구
번2동,11305603,11305,127.0347446719472,37.62948494887264,강북구
번3동,11305608,11305,127.04218425533922,37.62368917919007,강북구
자양3동,11215840,11215,127.07101606905556,37.53136850519804,광진구
자양4동,11215847,11215,127.06361893678418,37.53375136428935,광진구
구의1동,11215850,11215,127.08598440880375,37.5415038189961,광진구
구의2동,11215860,11215,127.09485639020176,37.5511016720589,광진구
구의3동,11215870,11215,127.0942274848412,37.536956490128944,광진구
용신동,11230536,11230,127.03245552682628,37.57556132503958,동대문구
기동,11230545,11230,127.03722548288243,37.58374995175625,동대문구
전농1동,11230560,11230,127.05095551957608,37.57922183565485,동대문구
전농2동,11230570,11230,127.06112292051264,37.58069463875391,동대문구
답십리1동,11230600,11230,127.05187832254228,37.571274662047024,동대문구
답십리2동,11230610,11230,127.06103558265632,37.570783745453,동대문구
장안1동,11230650,11230,127.06852502978792,37.566238618581984,동대문구
장안2동,11230660,11230,127.07207692830464,37.575642892297,동대문구
청량리동,11230705,11230,127.04521030083602,37.58883777323814,동대문구
수유1동,11305615,11305,127.01001447423752,37.629732905721454,강북구
수유2동,11305625,11305,127.019364631901,37.64541789161528,강북구
수유3동,11305635,11305,127.0234422357564,37.64049777793631,강북구
우이동,11305645,11305,127.00048732938124,37.66034876374321,강북구
인수동,11305660,11305,127.00354621327511,37.637400665631354,강북구
창1동,11320511,11320,127.0435459008094,37.647087273938055,도봉구
후암동,11170510,11170,126.98061483959788,37.54990381408421,용산구
용산2가동,11170520,11170,126.98507593025204,37.537912160148856,용산구
남영동,11170530,11170,126.97482276913377,37.544028208171056,용산구
청파동,11170555,11170,126.9668436893749,37.54758518372214,용산구
원효로1동,11170560,11170,126.96655397782294,37.537493906721416,용산구
원효로2동,11170570,11170,126.95245827364532,37.53384903090399,용산구
효창동,11170580,11170,126.96093915346631,37.542808082601326,용산구
용문동,11170590,11170,126.95850901385698,37.537977894354526,용산구
한강로동,11170625,11170,126.96859411957044,37.529124167649734,용산구
이촌1동,11170630,11170,126.9717558041162,37.51517744414727,용산구
이촌2동,11170640,11170,126.95420736020796,37.52285750115803,용산구
이태원1동,11170650,11170,126.99324554325972,37.53336285660898,용산구
이태원2동,11170660,11170,126.9920566827956,37.54176010616265,용산구
한남동,11170685,11170,127.00517078444392,37.5375255598216,용산구
서빙고동,11170690,11170,126.98891431424948,37.51963125792497,용산구
보광동,11170700,11170,127.0009050415568,37.52688484537797,용산구
왕십리2동,11200520,11200,127.02772969813616,37.56145293830574,성동구
왕십리도선동,11200535,11200,127.02959934343136,37.56684945211883,성동구
마장동,11200540,11200,127.0406017762261,37.56741380833115,성동구
사근동,11200550,11200,127.04539545602,37.558122788998226,성동구
행당1동,11200560,11200,127.0361719656748,37.55909004189771,성동구
행당2동,11200570,11200,127.02965190700264,37.55667718677539,성동구
응봉동,11200580,11200,127.0337236035604,37.55088267778024,성동구
금호1가동,11200590,11200,127.02497673950828,37.55358784630584,성동구
금호2?3가동,11200615,11200,127.01997401737138,37.5513993732278,성동구
금호4가동,11200620,11200,127.02415926514722,37.54538892972044,성동구
옥수동,11200645,11200,127.02058221940472,37.540848569825286,성동구
성수1가1동,11200650,11200,127.0422619717796,37.54078874107653,성동구
성수1가2동,11200660,11200,127.0436472117351,37.5490143598074,성동구
성수2가1동,11200670,11200,127.05530502567484,37.53635043227752,성동구
성수2가3동,11200690,11200,127.05808421418728,37.54556632538986,성동구
송정동,11200720,11200,127.06697246477096,37.55150820919662,성동구
용답동,11200790,11200,127.0574720957508,37.55891941552393,성동구
화양동,11215710,11215,127.07339229382966,37.54326926538935,광진구
군자동,11215730,11215,127.0737074372354,37.5530449035526,광진구
